id_municipio,id_municipio_nome,sigla_uf,populacao,area,taxa_alfabetizacao,indice_envelhecimento,idade_mediana,razao_sexo
1504604,Mocajuba,PA,27120,871,0.91778,28.66,26,103
1502103,Cametá,PA,133949,3081,0.91668,26.68,26,105.35
1504901,Muaná,PA,45181,3763,0.8999,21.1,26,102.8
1507805,Senador José Porfírio,PA,22231,14420,0.84771,14.86,26,117.47
1503002,Faro,PA,8693,11772,0.92743,24.91,26,105.61
1502764,Cumaru do Norte,PA,12863,17085,0.83501,13.9,26,121.74
2503555,Cacimbas,PB,7223,124,0.75257,32.01,26,93.65
2609154,Manari,PE,23751,345,0.69833,27.29,26,99.19
2607000,Inajá,PE,25590,1231,0.75866,22.76,26,96.75
2201150,Baixa Grande do Ribeiro,PI,13235,7809,0.85093,20.9,26,105.07
1400308,Mucajaí,RR,17937,12338,0.87667,22.59,26,105.93
1400209,Caracaraí,RR,20882,47380,0.87008,21.25,26,108.96
1400233,Caroebe,RR,10512,12066,0.91693,18.3,26,114.36
1720150,São Félix do Tocantins,TO,1771,1913,0.88318,25.05,26,106.84
1709005,Goiatins,TO,12411,6415,0.82264,30.17,26,107.77
1718303,Praia Norte,TO,9031,301,0.83864,26.26,26,105.36
2708402,São José da Tapera,AL,30590,491,0.73007,31.12,27,97.27
2701803,Carneiros,AL,8916,112,0.77729,29.68,27,95.84
2708956,Senador Rui Palmeira,AL,12281,339,0.74423,32.65,27,97.83
1300706,Boca do Acre,AM,35357,21939,0.80163,24.54,27,107.84
1301100,Careiro,AM,30740,6096,0.87057,28.16,27,108.17
1303536,Presidente Figueiredo,AM,30635,25459,0.91418,22.5,27,102.71
1300904,Canutama,AM,16862,33643,0.81116,22.01,27,115.33
1302553,Manaquiri,AM,17089,3973,0.88584,25.31,27,108.11
1304302,Urucará,AM,18563,27902,0.94227,24.44,27,110.69
1600600,Santana,AP,107334,1541,0.92436,22.15,27,99.04
2112274,Tufilândia,MA,5506,271,0.76317,35.54,27,103.29
2104677,Governador Nunes Freire,MA,22917,1037,0.81956,26.12,27,101.53
2107100,Morros,MA,18539,1712,0.81228,27.86,27,105.11
2105153,Igarapé do Meio,MA,13961,369,0.78742,26.61,27,98.92
2108306,Penalva,MA,32498,801,0.83185,31.18,27,98.42
2105963,Lagoa Grande do Maranhão,MA,11405,744,0.7145,25.45,27,107.13
2102150,Brejo de Areia,MA,9200,986,0.7458,27.18,27,107.33
2112001,Tasso Fragoso,MA,8832,4369,0.86719,28.27,27,105.95
2105104,Icatu,MA,24785,1124,0.82049,32.49,27,104.42
2112506,Tutóia,MA,53157,1566,0.77665,28.9,27,99.64
2101400,Balsas,MA,101337,13141,0.91591,22.45,27,97.6
2102705,Cantanhede,MA,24280,773,0.82948,29.76,27,100.06
2106409,Mata Roma,MA,17069,549,0.79035,31.3,27,101.46
2110005,Santa Luzia,MA,57523,4837,0.7692,31.99,27,100.99
2109270,Presidente Sarney,MA,17503,726,0.79648,28.24,27,98.94
2102002,Bom Jardim,MA,33053,6588,0.7507,31.54,27,101.53
2100477,Alto Alegre do Pindaré,MA,25611,1876,0.77842,31.49,27,101.84
2106672,Milagres do Maranhão,MA,8809,635,0.70665,33.56,27,106.85
2103901,Duque Bacelar,MA,10218,317,0.73313,32.28,27,101.52
5007950,Tacuru,MS,10786,1784,0.84405,27.47,27,107.53
5001243,Aral Moreira,MS,10653,1654,0.8888,26.14,27,100.41
5103858,Gaúcha do Norte,MT,8636,16908,0.90221,17.33,27,105.81
5100359,Alto Boa Vista,MT,5703,2248,0.9159,25.75,27,104.62
5107354,São José do Xingu,MT,5930,7466,0.92582,16.78,27,112.7
5107578,Rondolândia,MT,3477,12658,0.89808,24.03,27,107.52
5107065,Querência,MT,26310,17800,0.95102,14.99,27,110.05
5103700,Feliz Natal,MT,10455,11662,0.93559,17.39,27,107.51
5107792,Santo Antônio do Leste,MT,4093,3404,0.93529,14.9,27,109.99
1502756,Concórdia do Pará,PA,26852,701,0.86392,24.41,27,101.64
1507755,Sapucaia,PA,5812,1298,0.86607,21.64,27,103.09
1506195,Rurópolis,PA,35625,7021,0.87928,24.99,27,105.59
1505106,Óbidos,PA,51953,28011,0.90735,28.24,27,104.94
1501907,Bujaru,PA,24324,995,0.88521,27.06,27,102.68
1505486,Pacajá,PA,41045,11832,0.86611,20.88,27,111.13
1505064,Novo Repartimento,PA,60607,15399,0.85227,22.21,27,106.41
1502954,Eldorado do Carajás,PA,28117,2957,0.85915,25.95,27,105.05
1502939,Dom Eliseu,PA,58380,5269,0.88966,20.72,27,97.73
1500958,Aurora do Pará,PA,23672,1812,0.81752,24.83,27,103.28
1501782,Breu Branco,PA,45630,3942,0.84897,25.95,27,102.16
1508050,Trairão,PA,15210,11991,0.88181,22.78,27,111.05
1508357,Vitória do Xingu,PA,15562,3090,0.85806,23.18,27,106.01
1502152,Canaã dos Carajás,PA,76838,3147,0.94854,11.6,27,104.5
1506401,Santa Cruz do Arari,PA,7427,1077,0.92374,27.97,27,109.31
1500206,Acará,PA,58883,4344,0.84099,25.99,27,107.3
2603926,Carnaubeira da Penha,PE,12239,1005,0.81441,34.05,27,103.88
2208502,Porto,PI,12034,253,0.74652,29.3,27,101.91
1400100,Boa Vista,RR,403025,5687,0.96428,18.63,27,97.44
1400472,Rorainópolis,RR,32559,33580,0.90498,20.21,27,106.63
1400506,São João da Baliza,RR,8691,4285,0.90375,20.11,27,114.95
4315404,Redentora,RS,9722,304,0.90719,35.81,27,102.83
2800704,Brejo Grande,SE,7824,141,0.75753,27.14,27,102.77
2801207,Canindé de São Francisco,SE,26770,934,0.77626,24.11,27,94.82
1718808,Sampaio,TO,4205,222,0.83074,29.33,27,103.03
1702901,Axixá do Tocantins,TO,10259,154,0.84687,31.75,27,95.99
1711951,Lagoa do Tocantins,TO,3516,918,0.85737,29.83,27,103.59
1711902,Lagoa da Confusão,TO,15244,10563,0.92818,19.56,27,108.97
1712702,Mateiros,TO,2718,9589,0.83185,21.39,27,111.22
1200138,Bujari,AC,12917,3035,0.81259,26.12,28,108.27
1200179,Capixaba,AC,10370,1706,0.84268,26.94,28,109.77
1200708,Xapuri,AC,18230,5351,0.85388,26.66,28,106.53
1200013,Acrelândia,AC,13978,1812,0.8835,25.85,28,104.18
1200104,Brasiléia,AC,25931,3928,0.89014,25.34,28,101.74
1200807,Porto Acre,AC,16676,2604,0.83983,30.7,28,108.14
1200252,Epitaciolândia,AC,18739,1653,0.8878,24.87,28,101.04
2703601,Japaratinga,AL,9183,85,0.80062,26.16,28,97.66
2703809,Joaquim Gomes,AL,17120,298,0.69385,30.69,28,99.42
2707107,Piranhas,AL,22594,404,0.7924,29.57,28,93.42
2708501,São Luís do Quitunde,AL,30863,397,0.75279,26.06,28,95.97
2703304,Inhapi,AL,15166,372,0.71311,35.51,28,90.76
2705507,Murici,AL,25083,418,0.76342,29.05,28,93.34
1301852,Iranduba,AM,60904,2217,0.91136,23.9,28,105.25
1303569,Rio Preto da Eva,AM,24880,5816,0.91269,25.4,28,106.46
1301159,Careiro da Várzea,AM,19602,2627,0.87093,28.67,28,110.16
1600303,Macapá,AP,439881,6564,0.95101,21.92,28,95.66
2927101,Rodelas,BA,10295,2207,0.87437,27.34,28,97.17
2919553,Luís Eduardo Magalhães,BA,107688,4036,0.95318,11.85,28,100.6
5200258,Águas Lindas de Goiás,GO,225263,192,0.94759,15.67,28,97.85
2102507,Cajari,MA,16394,662,0.85347,31.39,28,103.17
2109809,Santa Helena,MA,41541,2191,0.82171,33.17,28,95.66
2102606,Cândido Mendes,MA,19921,1635,0.82872,28.22,28,105.87
2105906,Lago Verde,MA,14765,631,0.73335,32.41,28,98.32
2112100,Timbiras,MA,26480,1487,0.712,32.31,28,98.65
2111078,São João do Soter,MA,16883,1438,0.72846,36.46,28,98.81
2103208,Chapadinha,MA,81248,3247,0.80877,32.68,28,96.49
2104099,Formosa da Serra Negra,MA,17675,3691,0.85923,32.35,28,110.14
2104305,Godofredo Viana,MA,10147,720,0.86548,23.72,28,107.16
2100832,Apicum-Açu,MA,17487,341,0.84448,28.3,28,107.23
2108108,Paulo Ramos,MA,20338,1169,0.73206,34.13,28,100.13
2108454,Peritoró,MA,20472,825,0.74945,34.45,28,99.48
2110658,São Domingos do Azeitão,MA,7990,961,0.79364,30.98,28,102.07
2101772,Bela Vista do Maranhão,MA,11736,148,0.79494,33.01,28,99.25
2110104,Santa Quitéria do Maranhão,MA,23949,1430,0.75908,35.19,28,98.95
2100436,Alto Alegre do Maranhão,MA,24019,393,0.76251,31.06,28,97.15
2111748,Senador Alexandre Costa,MA,10206,426,0.7507,35.53,28,100.93
2105658,Junco do Maranhão,MA,5138,568,0.8039,31.17,28,100
2100873,Araguanã,MA,11176,805,0.79845,35.2,28,101.31
2100808,Anapurus,MA,13759,609,0.78285,31.57,28,99.67
2112852,Vila Nova dos Martírios,MA,10350,1190,0.79292,31.07,28,103.34
2106607,Matões,MA,32167,2109,0.75392,35.29,28,101.11
2102903,Carutapera,MA,24229,1261,0.85696,26.38,28,103.99
2111722,Satubinha,MA,8755,442,0.74431,31.23,28,106.39
2100501,Alto Parnaíba,MA,11045,11127,0.87059,34.49,28,107.3
2110203,Santa Rita,MA,36976,757,0.84415,28.82,28,99.69
3165552,Setubinha,MG,9915,535,0.77131,42.07,28,98.38
3116159,Chapada Gaúcha,MG,12313,3255,0.87824,33.99,28,105.92
5101407,Aripuanã,MT,24340,24678,0.9466,18.01,28,110.6
5102686,Campos de Júlio,MT,8595,6793,0.94154,13.25,28,105.83
5106224,Nova Mutum,MT,55556,9537,0.9612,15.52,28,103.42
5107875,Sapezal,MT,27747,13615,0.95596,10.31,28,111.67
5102637,Campo Novo do Parecis,MT,45382,9429,0.95702,12.94,28,107.55
5106240,Nova Ubiratã,MT,11440,12461,0.9327,16.99,28,110.59
1502772,Curionópolis,PA,19942,2369,0.8715,29.99,28,104.53
1500347,Água Azul do Norte,PA,17961,7114,0.88314,21.52,28,115.65
1503606,Itaituba,PA,122162,62042,0.91806,22.74,28,102.07
1508159,Uruará,PA,43410,10791,0.87814,23.59,28,109.96
1507979,Terra Santa,PA,18747,1896,0.94939,25.34,28,102.76
1501204,Baião,PA,51107,3760,0.91962,27.34,28,100.75
1505502,Paragominas,PA,105048,19343,0.91508,20.64,28,98.82
1507607,São Miguel do Guamá,PA,52853,1095,0.88354,28.86,28,98.01
1502004,Cachoeira do Arari,PA,23944,3100,0.91631,26.05,28,102.29
1505437,Ourilândia do Norte,PA,32431,14411,0.88428,19.6,28,103.87
1501451,Belterra,PA,18042,4398,0.91142,33.53,28,102.56
1504208,Marabá,PA,265617,15128,0.92201,22.53,28,99.26
1505700,Ponta de Pedras,PA,24945,3364,0.87944,26.29,28,105.77
1506807,Santarém,PA,330460,17898,0.95388,28.61,28,96.58
1503077,Garrafão do Norte,PA,24692,1608,0.78132,26.92,28,105.7
1503705,Itupiranga,PA,49637,7880,0.84775,25.56,28,109.88
1501303,Barcarena,PA,126452,1310,0.93847,22.27,28,100.22
1505031,Novo Progresso,PA,33474,38162,0.93592,17.71,28,108.27
1505650,Placas,PA,18637,7173,0.87934,23.89,28,111.82
1503309,Igarapé-Miri,PA,64706,1997,0.84587,25.04,28,105.44
1505536,Parauapebas,PA,267248,6886,0.94555,12.89,28,100.01
1506708,Santana do Araguaia,PA,32281,11591,0.89516,24.62,28,105.93
2509057,Marcação,PB,8999,123,0.76662,28.13,28,101.55
2615607,Trindade,PE,30288,296,0.81764,31.29,28,95.85
2607307,Ipubi,PE,28996,694,0.78762,32.22,28,98.18
2209203,Santa Filomena,PI,6063,5294,0.82184,32.21,28,105.92
2202174,Campo Largo do Piauí,PI,7419,478,0.71802,30.66,28,105.29
4207684,Ipuaçu,SC,7728,261,0.92175,35.98,28,104.17
2805406,Poço Redondo,SE,33383,1220,0.73394,28.92,28,102.32
1703891,Carrasco Bonito,TO,3318,190,0.79246,32.08,28,106.73
1718659,Rio da Conceição,TO,1751,846,0.89466,30.19,28,101.14
1703073,Barra do Ouro,TO,4475,1106,0.84018,36.45,28,110.34
1703305,Bom Jesus do Tocantins,TO,4037,1327,0.87855,29.3,28,108.25
1707405,Esperantina,TO,7525,506,0.78214,36.64,28,104.68
1200385,Plácido de Castro,AC,16540,1953,0.84375,31.14,29,105.69
2707404,Porto de Pedras,AL,9227,257,0.77924,26.28,29,100.8
2705101,Matriz de Camaragibe,AL,23771,238,0.7666,30.97,29,94.4
2701605,Canapi,AL,15545,603,0.70097,37.81,29,98.13
2700508,Barra de Santo Antônio,AL,16307,131,0.78705,28.52,29,97.41
2702108,Colônia Leopoldina,AL,15802,208,0.74116,34.27,29,94.18
2705804,Olho d'Água do Casado,AL,8342,328,0.75243,32.2,29,97.52
2706505,Passo de Camaragibe,AL,13791,251,0.76249,30.48,29,100.41
2704500,Maragogi,AL,31977,334,0.81124,24.33,29,96.69
1300144,Apuí,AM,20528,54241,0.91808,22.35,29,111.66
2902708,Barra,BA,50967,11428,0.79875,33.29,29,103.55
2908606,Conde,BA,23571,931,0.83984,37.58,29,98.11
2928901,São Desidério,BA,32675,15157,0.82124,28.81,29,105.78
2904050,Bonito,BA,15800,791,0.86019,29.65,29,99.97
2912202,Ibicoara,BA,20759,817,0.87226,26.39,29,100.49
2911105,Formosa do Rio Preto,BA,25805,15634,0.81637,35.05,29,102.26
2922250,Muquém de São Francisco,BA,10440,3852,0.81007,35.56,29,111.4
2930758,Sítio do Mato,BA,13393,1628,0.83869,31.67,29,105.68
2307254,Jijoca de Jericoacoara,CE,25472,209,0.85743,27.28,29,99.09
2306108,Irauçuba,CE,23909,1466,0.79907,36.5,29,102.31
2311959,Salitre,CE,16609,806,0.71853,37.73,29,101.34
2308906,Morrinhos,CE,22732,412,0.78092,38.31,29,101.89
2306553,Itarema,CE,42901,715,0.81738,32.71,29,103.87
2300754,Amontada,CE,42147,1175,0.80229,36.87,29,106.09
5205471,Chapadão do Céu,GO,12840,2184,0.96217,14.05,29,104.94
5215231,Novo Gama,GO,103562,192,0.93947,24.57,29,96.83
5220009,São João d'Aliança,GO,13526,3334,0.92877,29.18,29,113.36
5219753,Santo Antônio do Descoberto,GO,71867,944,0.93092,25.69,29,97.64
2111532,São Pedro da Água Branca,MA,13404,720,0.80543,31.41,29,103.79
2103505,Colinas,MA,40201,1979,0.78288,33.78,29,95.31
2103125,Central do Maranhão,MA,7082,320,0.79255,37.12,29,107.43
2107456,Olinda Nova do Maranhão,MA,13576,200,0.81454,35.03,29,102.88
2105450,Jatobá,MA,7458,592,0.77637,33.74,29,102.25
2105708,Lago da Pedra,MA,44375,1240,0.76211,36.52,29,97.88
2101608,Barra do Corda,MA,84418,5188,0.7976,36.3,29,97.92
2101103,Axixá,MA,11779,160,0.87499,40.15,29,99.12
2111631,São Raimundo do Doca Bezerra,MA,5650,420,0.77629,34.1,29,108.87
2111672,São Roberto,MA,4531,227,0.74692,32.25,29,104.78
2104206,Fortuna,MA,16971,835,0.79523,39.46,29,103.11
2110039,Santa Luzia do Paruá,MA,24286,1010,0.83932,35.36,29,99.65
2106706,Mirador,MA,21011,8522,0.76047,37.32,29,104.63
2109452,Raposa,MA,30803,79,0.89716,22.32,29,95.33
2111789,Serrano do Maranhão,MA,10201,1165,0.79302,34.71,29,109.53
2108504,Pindaré-Mirim,MA,31403,268,0.84272,34.25,29,93.97
2101251,Bacabeira,MA,16956,543,0.8598,26.98,29,98.48
2110237,Santana do Maranhão,MA,10547,932,0.71803,36.3,29,100.93
2105401,Itapecuru Mirim,MA,60290,1481,0.81986,30.41,29,95.73
2104552,Governador Edison Lobão,MA,18279,616,0.84587,32.57,29,102.61
