model;AIC;BIC;AICc;RMSE
ARIMA(0,1,0)(1,1,1)_12;1078.806957;1085.594997;1079.165166;423.6208628
ARIMA(0,1,0)(1,1,0)_12;1076.843477;1081.368837;1077.019948;423.7521411
ARIMA(0,1,0)(0,1,1)_12;1077.085032;1081.610392;1077.261502;424.7234011
ARIMA(0,1,0)(0,1,0)_12;1077.145365;1079.408045;1077.203336;432.0126176
ARIMA(1,0,0)(1,0,1)_12;1287.712349;1299.866433;1288.48158;439.2743375
ARIMA(0,1,1)(0,0,0)_12;1265.087097;1269.924778;1265.237097;476.027905
ARIMA(0,1,0)(0,0,1)_12;1294.951784;1299.789465;1295.101784;528.9194586
ARIMA(0,1,0)(0,0,0)_12;1341.438458;1343.857299;1341.487841;768.1462389
ARIMA(0,0,2)(0,1,1)_12;1295.13612;1304.242784;1295.733135;1388.201571
ARIMA(0,0,2)(1,0,1)_12;1529.878591;1544.463492;1530.9695;1465.812852
ARIMA(0,0,2)(0,1,0)_12;1342.110681;1348.940679;1342.463622;2258.23558
ARIMA(0,0,2)(0,0,1)_12;1579.587426;1591.74151;1580.356657;2286.33964
ARIMA(0,0,1)(0,1,1)_12;1372.398343;1379.228341;1372.751284;2462.348647
ARIMA(0,0,2)(1,0,0)_12;1584.111407;1596.265491;1584.880638;2494.989086
ARIMA(0,0,2)(0,0,0)_12;1628.751908;1638.475175;1629.258237;3584.18297
ARIMA(0,0,1)(0,1,0)_12;1423.428895;1427.982227;1423.602808;4151.964155
ARIMA(0,0,1)(0,0,1)_12;1676.156792;1685.880059;1676.663121;4198.224611
ARIMA(0,0,1)(1,0,0)_12;1671.287235;1681.010503;1671.793565;4350.042591
ARIMA(0,0,0)(0,1,1)_12;1464.982335;1469.535668;1465.156248;4853.902085
ARIMA(0,0,1)(0,0,0)_12;1725.711979;1733.00443;1726.011979;6574.792586
ARIMA(0,0,0)(0,1,0)_12;1515.437275;1517.713941;1515.494418;8217.055765
ARIMA(0,0,0)(0,0,1)_12;1784.095855;1791.388305;1784.395855;8237.592567
ARIMA(0,0,0)(1,0,0)_12;1781.990568;1789.283019;1782.290568;8649.125383
ARIMA(0,0,0)(0,0,0)_12;1831.987858;1836.849491;1832.136006;12860.83045
